GCAM_LUT,Item1,Item2,Item3,Item4
Corn,CGR,,CRP,AGR
FiberCrop,PFB,,CRP,AGR
FodderGrass,GRS,,,AGR
FodderHerb,OFD,,,AGR
Fruits,VFN,VFN|FRU,CRP,AGR
Legumes,VFN,,CRP,AGR
MiscCrop,OCR,,CRP,AGR
NutsSeeds,VFN,VFN|NUT,CRP,AGR
OilCrop,OSD,,CRP,AGR
OtherGrain,CGR,,CRP,AGR
PalmFruit,OSD,,CRP,AGR
Rice,RIC,,CRP,AGR
RootTuber,VFN,,CRP,AGR
Soybean,OSD,,CRP,AGR
SugarCrop,SGC,,CRP,AGR
Vegetables,VFN,VFN|VEG,CRP,AGR
Wheat,WHT,,CRP,AGR
biomassGrass,ECP,,CRP,AGR
biomassTree,ECP,,CRP,AGR
Forest,FOR,,,
Pasture,GRS,,,AGR
Tundra,NLD,,,
RockIceDesert,NLD,,,
UrbanLand,NLD,,,
UnmanagedForest,ONV,,,
UnmanagedPasture,ONV,,,
Shrubland,ONV,,,
Grassland,ONV,,,
OtherArableLand,ONV,,,